canonical,unlocode,country,src
New Orleans,USMSY,US,auto
New York,USNYC,US,auto
Nhava Sheva,INNSA,IN,known
Nhave Sheva,INNSA,IN,known
Ningbo,CNNBO,CN,auto
Norfolk,USORF,US,auto
Oakland,USOAK,US,auto
Onne,NGONN,NG,auto
Osaka,JPOSA,JP,auto
Paita,PEPAI,PE,auto
Panama Canal,,,REVIEW(ambiguous)
Paramaribo,SRPBM,SR,auto
Paranagua,BRPNG,BR,auto
Pasir Gudang,MYPGU,MY,known
Penang,MYPEN,MY,known
Philadelphia,USPHL,US,auto
Pipavav,INPAV,IN,known
Piraeus,GRPIR,GR,auto
Pointe Noire,CGPNR,CG,known
Port Au Prince,HTPAP,HT,auto
Port Everglades,USPEF,US,auto
Port Kelang,MYPKG,MY,known
Port Kelang North,MYPKG,MY,known
Port Kelang West,MYPKG,MY,known
Port Klang,MYPKG,MY,known
Port Klang North,MYPKG,MY,known
Port Klang West,MYPKG,MY,known
Port Louis,MUPLU,MU,known
Port Moresby,PGPOM,PG,auto
Port Of Spain,TTPOS,TT,auto
Port Qasim,,,REVIEW
Port Said West,EGPSD,EG,known
Posorja,ECPSJ,EC,auto
Prince Rupert,CAPRR,CA,auto
Puerto Caldera,CRPTC,CR,auto
Puerto Cortes,HNPCR,HN,auto
Puerto Quetzal,GTPRQ,GT,auto
Pusan,KRPUS,KR,known
Qingdao,CNQIN,CN,auto
Qinzhou,CNQZH,CN,auto
Quan Zhou,CNQZH,CN,known
Quanzhou,CNQZH,CN,known
Ravenna,ITRAN,IT,auto
Riga,LVRIX,LV,auto
Rijeka,HRRJK,HR,auto
Rio De Janeiro,BRRIO,BR,auto
Rio Hania,DOHAI,DO,known
Rizhao,CNRZH,CN,auto
Rotterdam,NLRTM,NL,known
Safi,MASFI,MA,auto
Salerno,ITSAL,IT,auto
Salvador De Bahia,BRSSA,BR,known
San Antonio,CLSAI,CL,known
San Juan,PRSJU,PR,known
San Lorenzo,,,REVIEW(ambiguous)
Santo Tomas De Castilla,GTSTC,GT,known
Santos,BRSSZ,BR,auto
Savannah,USSAV,US,known
Seattle,USSEA,US,auto
Semarang,IDSRG,ID,auto
Shanghai,CNSGH,CN,auto
Shantou,CNSTG,CN,auto
Sharjah,AESHJ,AE,auto
Shekou,CNSHK,CN,known
Shimizu,JPSMZ,JP,auto
Shuaiba,KWSAA,KW,auto
Shuwaikh,KWSWK,KW,auto
Sihanouk Ville,KHKOS,KH,known
Sihanoukville,KHKOS,KH,known
Singapore,SGSIN,SG,auto
Singapre,SGSIN,SG,known
Sohar,OMSOH,OM,auto
Sokhna,EGSOK,EG,known
Southampton,GBSOU,GB,known
Subic,PHSBI,PH,auto
Surabaya,IDSUB,ID,auto
Suva,FJSUV,FJ,auto
Sydney,AUSYD,AU,known
Tacoma,USTIW,US,auto
Taichung,TWTXG,TW,auto
Taipei,TWTPE,TW,auto
Tallin,EETLL,EE,known
Tampa,USTPA,US,auto
Tanger Med,MAPTM,MA,auto
Tangier,MATNG,MA,auto
Tanjung Pelepas,MYTPP,MY,auto
Tauranga,NZTRG,NZ,auto
Teesport,GBTEE,GB,auto
Tema,GHTEM,GH,auto
Tianjin,CNTNJ,CN,auto
Tibury,GBTIL,GB,known
Tilbury,GBTIL,GB,known
Tincan,NGTIN,NG,known
Tokyo,JPTYO,JP,auto
Townsville,AUTSV,AU,auto
Trieste,ITTRS,IT,auto
Umm Qasr,IQUQR,IQ,known
Vado Ligure,ITVDL,IT,auto
Valencia,ESVLC,ES,auto
Valparaiso,CLVAP,CL,auto
Vancouver,CAVAN,CA,known
Varna,BGVAR,BG,auto
Venice,USVN3,US,auto
Veracruz,MXVER,MX,auto
Vila Do Conde,PTVIC,PT,auto
Vizag,INVTZ,IN,known
Vung Tau,VNVUT,VN,auto
Walvis Bay,NAWVB,NA,auto
Wellington,NZWLG,NZ,known
Wilhelmshaven,DEWVN,DE,auto
Xiamen,CNXAM,CN,auto
Xiao Chan Tan,,,REVIEW(ambiguous)
Xingang,CNTXG,CN,known
Yangon,MMRGN,MM,auto
Yangpu,CNYPG,CN,known
Yantai,CNYAT,CN,auto
Yantian,CNYTN,CN,known
Yilport,TRYPO,TR,auto
Yokkaichi,JPYKK,JP,auto
Yokohama,JPYOK,JP,auto
Zeebrugge,BEZEE,BE,auto
